arrival,triage_wait,bed_wait,lab_time,total_time
3.0052607549574932,0.0,0.0,2.7473180217057447,18.89730142894551
6.383287436675511,20.227826206841172,3.726467551466513,0.0,42.66928756590843
6.2752406870525395,14.098943207396024,0.0,26.36744046577634,51.32794224557977
5.92549782473806,9.003567929590709,0.0,60.84004743468739,112.51773254258164
8.1991130813082,19.310161834081256,15.70062758256936,20.05974780426584,147.48248624028398
9.961563949130166,19.491112147058395,18.410249134905293,67.6404780448432,213.36051341730524
13.966051641296424,19.88405791233479,108.47400123886167,30.77399050991454,244.91798040854468
15.27425269947538,23.996271493981798,187.43927174528727,0.0,243.63399468423307
13.866933894817038,16.775391972861605,101.77174196369513,0.0,267.9745751275916
17.92203042131753,42.72752072924595,217.0865998888029,8.84517837045911,300.574874488559
19.461512499644495,45.293396633961265,241.13174367911245,0.0,325.38397039180137
17.43841189058014,23.23235790405915,198.25869623314497,2.1176325208286357,347.2441658045251
23.558918891968663,52.88189470698977,306.22809639115957,0.0,453.1732338921121
