index,beds,mean,std,count,ci95
0,2,213.0121583259978,,1,
1,3,299.57729575333144,,1,
2,5,247.25242862959016,24.282602694662756,7,17.988803816330073
3,8,224.88097658789417,,1,
4,10,250.90493727290004,,1,
