run,triage_mean,triage_std,bed_mean,bed_std,lab_mean,lab_std,total_mean,total_std
run_seed104_beds5_labs1,91.94282954957107,63.60804677019377,206.31536829774032,120.50709980349275,8.959591993105137,17.345830592907813,389.1911232390034,177.86694650306495
run_seed143_beds5_labs1,68.69898554064139,42.686002979287274,161.35132164452332,114.40608141596468,12.002505139508182,21.48302901449441,324.7386710690145,154.89073924349267
run_seed112_beds8_labs1,152.86099028162084,110.01501932638168,48.88185545289203,56.66266953710114,10.112493159205389,23.915113505148113,339.61728738549476,190.6655364429039
run_seed164_beds1_labs1,16.958500529333687,9.689108699979167,337.2566434219996,236.13203042957605,13.35674709956349,19.958490050515515,431.3539267685119,229.84432662336013
run_seed143_beds8_labs3,168.52079997889402,101.03220238592012,79.7090337467259,56.49457415531019,14.108524800517992,24.441662403579453,323.98368523711866,154.5765870428677
run_seed111_beds10_labs1,182.724841209112,126.26727122623817,24.94822981702214,20.6203536449134,6.624271566076696,16.131885011629617,324.0217316416866,164.29215043366605
run_seed120_beds5_labs1,98.25233809068459,57.132208730759494,73.26315683934295,99.44930899910653,12.840220477152585,20.25493151976259,320.6831016269423,177.44038445589587
run_seed144_beds3_labs1,72.86424722010044,66.55369130193637,207.47257467876926,114.26912410747039,13.405644107386392,27.734570639089856,355.2654324500258,166.47248677694577
run_seed112_beds5_labs1,85.52117237324318,61.640923428065115,85.06454657478979,88.90371502366234,14.78882228643537,28.417920714257665,261.39127836902384,175.48982070445288
run_seed120_beds5_labs2,79.27085373652338,47.015490574585705,166.7898287168423,131.46730646698703,17.304715245039784,25.623415492050754,329.85303280425137,185.98397921793233
run_seed113_beds2_labs1,17.776095508606016,13.315677755571507,214.30712963387407,159.47337302097154,12.551523078822557,19.769246642763775,305.06372748540446,178.5830587219179
run_seed114_beds2_labs1,60.162643440027054,48.59650380602593,227.37578899154497,160.7638077166638,17.20190016283544,27.18459559864412,383.93967570161675,225.44592987071164
run_seed160_beds5_labs2,34.46903951989461,20.504082203889226,129.205879254137,97.47477872804046,11.71678589541444,24.014905258367214,233.54977011566677,126.91605571694774
run_seed131_beds5_labs1,156.02583044626752,78.48767579479266,166.64942913458,105.75718507705301,8.942280607592904,15.977114815860089,402.9070518981662,177.94861335649975
run_seed143_beds3_labs1,66.5532413826327,40.58638205757032,201.66196257238786,147.2646297314998,9.149843907786206,24.113631933209486,357.29964284544246,174.7677347838543
run_seed120_beds5_labs5,84.68947450565436,53.3478611580166,182.6946890052917,133.950682754156,18.236276514707434,22.54736479509409,346.1697458230936,188.24261363052545
run_seed144_beds8_labs3,151.89391313186945,96.08131590075645,100.12363044062478,76.0275041354553,11.916974916497589,21.068085899114095,328.38167565980524,173.0637758929659
run_seed163_beds1_labs1,27.625129548502255,18.406741529995998,211.3123961394773,207.47542741938355,22.163921831381163,27.511734040866436,318.25735959684465,231.462968543955
run_seed144_beds5_labs1,136.95387329492513,88.78061749965791,126.17914677150453,104.88844281725447,13.034080622617148,27.50422873856363,381.84149506131587,194.61577853315055
